,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
37193,74,retired,married,high.school,no,yes,no,cellular,aug,thu,1452,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.883,5076.2,yes
17013,41,entrepreneur,single,high.school,no,yes,no,telephone,jul,thu,153,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
21882,29,admin.,single,university.degree,no,yes,no,cellular,aug,wed,875,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes
14578,37,technician,married,professional.course,unknown,yes,yes,cellular,jul,tue,144,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
19760,32,admin.,married,high.school,no,no,no,cellular,aug,fri,52,8,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
39336,30,student,single,unknown,no,yes,no,cellular,mar,tue,136,1,9,1,success,-1.8,93.369,-34.8,0.637,5008.7,yes
30472,50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,293,3,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
30041,60,technician,married,professional.course,no,no,no,cellular,apr,wed,107,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
40330,36,admin.,single,professional.course,no,yes,no,telephone,aug,mon,25,1,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,no
40744,19,student,single,basic.6y,no,yes,no,cellular,sep,thu,161,2,6,4,success,-1.1,94.199,-37.5,0.879,4963.6,yes
35495,47,management,married,high.school,no,no,no,cellular,may,mon,57,1,9,2,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,no
785,50,self-employed,married,university.degree,no,no,no,telephone,may,wed,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
13634,27,blue-collar,married,high.school,no,yes,no,cellular,jul,thu,212,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
12387,40,admin.,married,high.school,no,yes,yes,cellular,jul,mon,615,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes
40105,59,retired,divorced,basic.4y,no,yes,yes,cellular,jul,mon,796,1,6,1,success,-1.7,94.215,-40.3,0.8270000000000001,4991.6,yes
5670,54,retired,married,basic.9y,no,no,yes,telephone,may,mon,596,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
16927,59,technician,married,basic.4y,unknown,yes,yes,cellular,jul,thu,709,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
37407,60,retired,married,university.degree,no,no,no,cellular,aug,wed,576,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.879,5076.2,yes
30585,26,student,single,high.school,no,no,no,cellular,may,mon,716,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
20670,48,unemployed,married,basic.4y,unknown,yes,no,cellular,aug,wed,57,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
16715,31,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,wed,790,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
11633,58,blue-collar,married,unknown,no,yes,no,telephone,jun,fri,29,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
30598,46,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,1091,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
37411,27,admin.,single,university.degree,no,yes,no,cellular,aug,wed,398,4,999,1,failure,-2.9,92.20100000000001,-31.4,0.879,5076.2,yes
39726,20,student,single,unknown,no,no,no,cellular,may,tue,530,2,3,5,success,-1.8,93.876,-40.0,0.6970000000000001,5008.7,yes
4342,33,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,155,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
35729,29,admin.,married,high.school,no,yes,no,cellular,may,mon,767,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,yes
3624,30,blue-collar,single,basic.4y,unknown,unknown,unknown,telephone,may,fri,140,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
17549,43,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,318,7,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
39950,27,admin.,single,university.degree,no,yes,no,cellular,jun,fri,266,2,999,1,failure,-1.7,94.055,-39.8,0.748,4991.6,yes
36788,33,unemployed,married,university.degree,no,yes,no,cellular,jun,mon,579,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
14356,27,services,single,high.school,no,no,no,cellular,jul,mon,1071,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
38875,32,technician,married,university.degree,no,yes,no,cellular,nov,mon,77,1,999,0,nonexistent,-3.4,92.649,-30.1,0.7140000000000001,5017.5,no
21802,43,unemployed,married,professional.course,no,no,yes,cellular,aug,wed,120,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
6425,32,management,married,university.degree,no,yes,no,telephone,may,wed,230,8,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
28964,38,technician,single,university.degree,no,yes,no,cellular,apr,fri,351,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
119,48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
20463,33,technician,married,professional.course,no,no,no,cellular,aug,tue,129,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20488,38,technician,single,high.school,unknown,no,no,cellular,aug,tue,104,6,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
23873,32,admin.,divorced,university.degree,no,unknown,unknown,cellular,aug,fri,136,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
36619,32,admin.,single,university.degree,no,yes,no,cellular,jun,thu,89,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
37729,34,technician,single,unknown,no,yes,no,cellular,aug,thu,320,2,3,1,success,-2.9,92.20100000000001,-31.4,0.851,5076.2,yes
2029,55,admin.,divorced,university.degree,no,yes,no,telephone,may,mon,38,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40674,27,technician,single,university.degree,no,yes,no,cellular,sep,thu,404,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes
39998,33,services,married,high.school,no,yes,no,cellular,jun,wed,274,2,12,2,success,-1.7,94.055,-39.8,0.767,4991.6,yes
39591,24,student,single,high.school,no,yes,no,cellular,may,wed,258,1,3,5,success,-1.8,93.876,-40.0,0.672,5008.7,yes
25259,45,unemployed,single,professional.course,no,no,no,cellular,nov,tue,191,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
20370,31,admin.,married,university.degree,no,no,no,cellular,aug,tue,336,6,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
5581,45,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
11604,40,admin.,married,high.school,no,no,no,telephone,jun,fri,9,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
29726,56,housemaid,married,university.degree,no,yes,no,cellular,apr,mon,148,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
28701,32,admin.,single,university.degree,no,yes,no,cellular,apr,thu,495,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
11905,40,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,46,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
16711,36,services,divorced,high.school,no,no,no,cellular,jul,wed,532,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
36849,35,management,married,university.degree,no,no,no,cellular,jun,tue,136,2,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,yes
30141,28,admin.,single,high.school,no,no,no,cellular,apr,thu,571,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2292,30,admin.,single,university.degree,no,yes,no,telephone,may,tue,178,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
40784,32,technician,married,basic.9y,no,yes,no,cellular,sep,wed,155,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes
22760,41,admin.,married,university.degree,no,yes,no,cellular,aug,mon,145,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
37573,42,technician,married,professional.course,no,yes,no,cellular,aug,fri,100,2,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,yes
286,39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
38494,33,services,single,high.school,no,no,no,cellular,oct,tue,137,1,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,yes
15561,24,blue-collar,single,basic.9y,no,no,no,cellular,jul,fri,191,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
24533,40,blue-collar,married,basic.4y,no,no,yes,cellular,nov,mon,143,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
36647,50,blue-collar,married,basic.9y,no,yes,no,cellular,jun,thu,117,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
22858,52,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,42,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
36960,46,entrepreneur,married,university.degree,no,yes,no,cellular,jul,thu,396,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,yes
14004,25,unemployed,married,high.school,unknown,no,no,cellular,jul,fri,120,10,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
15194,29,admin.,single,university.degree,no,no,yes,cellular,jul,thu,582,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,yes
23388,54,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,wed,523,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes
40373,18,student,single,unknown,no,yes,no,cellular,aug,wed,253,2,6,1,success,-1.7,94.027,-38.3,0.9,4991.6,yes
8921,33,self-employed,single,university.degree,no,unknown,unknown,telephone,jun,thu,169,3,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
28627,51,entrepreneur,married,illiterate,no,yes,no,cellular,apr,thu,838,3,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
11354,39,blue-collar,married,basic.9y,no,unknown,unknown,telephone,jun,thu,112,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
19885,34,technician,married,professional.course,no,yes,no,cellular,aug,fri,201,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
38232,37,management,single,basic.9y,no,no,no,cellular,oct,thu,137,1,999,0,nonexistent,-3.4,92.431,-26.9,0.741,5017.5,yes
22586,33,admin.,married,university.degree,no,yes,yes,cellular,aug,fri,374,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
22192,52,blue-collar,married,basic.4y,no,no,no,telephone,aug,thu,4199,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
19152,43,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,1332,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
23870,42,admin.,married,university.degree,no,no,no,cellular,aug,fri,71,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
2314,33,technician,divorced,professional.course,no,no,no,telephone,may,tue,259,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
16278,27,admin.,single,university.degree,no,no,no,cellular,jul,tue,1237,7,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes
39472,74,retired,divorced,basic.4y,no,yes,no,cellular,apr,mon,142,2,999,0,nonexistent,-1.8,93.749,-34.6,0.643,5008.7,yes
40038,41,admin.,divorced,university.degree,no,yes,no,cellular,jul,mon,140,1,14,2,success,-1.7,94.215,-40.3,0.7929999999999999,4991.6,yes
22915,50,services,married,high.school,no,yes,no,cellular,aug,mon,54,15,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
35544,33,admin.,single,professional.course,no,yes,no,cellular,may,mon,1340,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,yes
2574,55,technician,married,professional.course,no,no,no,telephone,may,tue,58,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
36376,34,services,single,high.school,no,no,yes,cellular,jun,tue,92,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
40223,24,technician,single,professional.course,no,yes,no,cellular,jul,thu,355,2,3,1,success,-1.7,94.215,-40.3,0.884,4991.6,yes
40494,48,self-employed,divorced,university.degree,no,no,no,cellular,aug,fri,222,4,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,yes
18921,46,blue-collar,married,basic.9y,no,no,no,cellular,aug,mon,122,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
19176,34,admin.,married,university.degree,unknown,no,no,cellular,aug,tue,1227,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
34535,28,services,single,professional.course,no,yes,no,cellular,may,thu,406,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,yes
39755,61,admin.,married,unknown,no,no,no,cellular,may,thu,173,3,9,2,success,-1.8,93.876,-40.0,0.6990000000000001,5008.7,yes
5093,36,technician,married,professional.course,unknown,no,no,telephone,may,fri,90,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36334,40,admin.,single,high.school,no,yes,no,cellular,jun,tue,145,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
19466,30,technician,single,university.degree,unknown,yes,no,cellular,aug,thu,123,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
7534,26,technician,married,professional.course,no,no,no,telephone,may,fri,59,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
39082,23,student,single,basic.9y,no,yes,no,cellular,dec,tue,256,2,999,0,nonexistent,-3.0,92.713,-33.0,0.708,5023.5,yes
40954,48,technician,married,professional.course,no,no,no,cellular,oct,thu,491,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,yes
35387,33,technician,single,university.degree,no,no,no,cellular,may,fri,204,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
30188,45,admin.,single,high.school,no,yes,no,cellular,apr,thu,354,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes
31774,29,blue-collar,married,basic.6y,no,no,no,cellular,may,thu,481,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,yes
37708,34,admin.,single,university.degree,no,yes,no,cellular,aug,thu,377,6,3,1,success,-2.9,92.20100000000001,-31.4,0.851,5076.2,yes
36561,30,admin.,single,university.degree,no,yes,no,cellular,jun,wed,617,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
19060,53,blue-collar,married,basic.4y,unknown,yes,no,telephone,aug,tue,1186,4,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
40360,48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,288,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,yes
27789,39,admin.,single,high.school,no,yes,no,cellular,mar,tue,395,3,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,yes
40733,33,technician,married,university.degree,no,yes,no,telephone,sep,wed,161,1,999,1,failure,-1.1,94.199,-37.5,0.8759999999999999,4963.6,no
24932,30,admin.,divorced,university.degree,no,no,yes,cellular,nov,tue,198,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
19868,53,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,fri,523,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
36570,26,student,single,university.degree,unknown,no,no,cellular,jun,wed,78,2,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,no
27214,52,unemployed,married,university.degree,no,no,no,cellular,nov,fri,115,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
7290,55,admin.,married,high.school,no,no,yes,telephone,may,thu,134,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
21725,56,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,tue,147,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
11208,42,services,married,high.school,unknown,no,no,telephone,jun,thu,84,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
13999,31,blue-collar,married,basic.6y,no,no,no,cellular,jul,fri,255,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
29397,32,admin.,married,high.school,no,no,no,cellular,apr,mon,9,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
36233,32,admin.,married,university.degree,no,yes,no,cellular,jun,mon,103,1,999,1,failure,-2.9,92.963,-40.8,1.266,5076.2,yes
29881,43,technician,divorced,professional.course,unknown,yes,no,telephone,apr,mon,18,5,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
40237,45,management,married,university.degree,no,no,yes,telephone,jul,thu,171,2,999,1,failure,-1.7,94.215,-40.3,0.884,4991.6,no
