,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
17418,46,management,married,university.degree,no,no,no,cellular,jul,mon,662,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
40220,72,retired,married,basic.6y,no,yes,no,cellular,jul,wed,143,1,999,0,nonexistent,-1.7,94.215,-40.3,0.8809999999999999,4991.6,yes
143,53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37559,54,admin.,married,university.degree,no,yes,no,cellular,aug,fri,326,3,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,yes
13620,57,management,married,basic.4y,unknown,no,yes,cellular,jul,thu,584,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
4737,30,admin.,single,university.degree,no,no,no,telephone,may,wed,819,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,yes
32032,35,management,married,university.degree,no,no,no,cellular,may,thu,597,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,yes
16877,57,blue-collar,married,unknown,no,yes,no,cellular,jul,thu,240,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
37660,32,services,married,high.school,no,no,no,cellular,aug,tue,363,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8590000000000001,5076.2,no
38723,28,admin.,married,high.school,no,yes,no,cellular,nov,tue,254,5,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
35718,34,admin.,married,university.degree,no,yes,no,cellular,may,mon,74,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no
17648,60,retired,divorced,professional.course,no,no,no,cellular,jul,mon,131,7,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
35819,58,admin.,married,university.degree,no,yes,no,cellular,may,mon,1359,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,yes
37753,54,admin.,married,university.degree,no,yes,no,cellular,aug,fri,91,2,3,1,success,-2.9,92.20100000000001,-31.4,0.8490000000000001,5076.2,yes
40226,24,services,single,high.school,no,yes,no,cellular,jul,thu,355,1,11,2,success,-1.7,94.215,-40.3,0.884,4991.6,yes
15198,40,housemaid,divorced,high.school,unknown,no,yes,telephone,jul,thu,265,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
38791,66,retired,married,basic.4y,no,yes,yes,telephone,nov,thu,1127,1,999,0,nonexistent,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
4268,47,blue-collar,married,unknown,unknown,no,no,telephone,may,tue,1334,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
38991,36,technician,single,professional.course,no,no,no,cellular,dec,mon,371,1,999,0,nonexistent,-3.0,92.713,-33.0,0.7170000000000001,5023.5,no
37683,37,admin.,married,university.degree,no,no,no,cellular,aug,wed,225,2,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8540000000000001,5076.2,yes
25921,32,entrepreneur,married,university.degree,no,no,yes,cellular,nov,wed,49,2,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
32939,29,services,divorced,high.school,no,no,no,cellular,may,mon,150,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
41004,80,retired,married,professional.course,no,yes,no,cellular,oct,thu,411,1,999,1,failure,-1.1,94.601,-49.5,1.025,4963.6,yes
6220,38,admin.,single,university.degree,no,no,no,telephone,may,tue,574,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39388,56,unemployed,divorced,basic.4y,no,yes,no,cellular,mar,wed,170,1,999,1,failure,-1.8,93.369,-34.8,0.634,5008.7,yes
33196,38,entrepreneur,married,unknown,unknown,yes,no,cellular,may,tue,145,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
38376,30,services,single,high.school,no,yes,no,cellular,oct,mon,385,2,999,0,nonexistent,-3.4,92.431,-26.9,0.7390000000000001,5017.5,yes
30701,41,admin.,married,high.school,no,yes,no,cellular,may,tue,181,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
40491,52,management,married,university.degree,no,unknown,unknown,cellular,aug,thu,157,2,999,0,nonexistent,-1.7,94.027,-38.3,0.899,4991.6,no
34743,29,admin.,single,basic.9y,unknown,no,no,cellular,may,thu,460,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,yes
19518,56,retired,married,high.school,unknown,yes,no,cellular,aug,thu,674,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
10937,24,blue-collar,single,basic.4y,no,no,no,telephone,jun,wed,476,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
1361,27,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,44,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
38584,26,student,single,high.school,no,no,no,cellular,oct,fri,373,3,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,yes
11094,49,services,married,high.school,unknown,no,no,telephone,jun,thu,97,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
21695,33,admin.,married,university.degree,no,yes,no,cellular,aug,tue,118,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30727,41,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,1240,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,yes
6382,35,blue-collar,married,unknown,no,yes,no,telephone,may,tue,112,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34776,26,technician,single,professional.course,no,yes,no,cellular,may,thu,294,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
40427,64,retired,married,basic.4y,no,unknown,unknown,telephone,aug,fri,245,3,999,0,nonexistent,-1.7,94.027,-38.3,0.905,4991.6,yes
21645,56,retired,married,basic.4y,no,no,no,cellular,aug,tue,933,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
9629,33,unemployed,single,high.school,no,yes,no,telephone,jun,mon,142,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
37360,44,management,married,university.degree,no,no,no,cellular,aug,tue,175,2,999,2,failure,-2.9,92.20100000000001,-31.4,0.883,5076.2,yes
6934,56,admin.,divorced,unknown,unknown,yes,no,telephone,may,thu,134,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
743,44,technician,single,professional.course,no,yes,yes,telephone,may,tue,139,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
17317,54,technician,married,professional.course,no,no,yes,telephone,jul,fri,395,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
31404,28,self-employed,single,university.degree,no,no,no,cellular,may,wed,554,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,yes
36878,29,unemployed,single,basic.4y,no,no,yes,cellular,jun,wed,243,3,3,2,success,-2.9,92.963,-40.8,1.244,5076.2,yes
23230,48,admin.,married,professional.course,no,no,no,cellular,aug,tue,369,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
37585,61,retired,married,basic.9y,no,no,no,cellular,aug,fri,99,3,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,no
15544,41,housemaid,married,high.school,no,yes,no,cellular,jul,fri,440,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
28502,30,admin.,married,university.degree,no,yes,yes,cellular,apr,tue,111,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
58,55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
398,41,self-employed,married,university.degree,no,yes,yes,telephone,may,tue,442,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37740,58,retired,married,university.degree,no,yes,no,cellular,aug,fri,92,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8490000000000001,5076.2,no
14222,33,entrepreneur,married,university.degree,no,yes,no,cellular,jul,mon,766,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
40439,29,services,single,university.degree,no,no,no,cellular,aug,mon,265,1,6,1,success,-1.7,94.027,-38.3,0.904,4991.6,yes
6699,33,admin.,married,high.school,no,yes,no,telephone,may,wed,67,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
20178,50,management,married,university.degree,unknown,yes,no,cellular,aug,mon,699,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
14422,32,admin.,single,university.degree,no,unknown,unknown,cellular,jul,tue,136,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
30289,47,blue-collar,single,basic.6y,no,no,no,cellular,apr,thu,309,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
22233,35,management,married,university.degree,unknown,no,yes,cellular,aug,thu,137,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
12909,54,retired,divorced,basic.4y,unknown,yes,no,cellular,jul,tue,498,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
38866,66,retired,married,basic.4y,no,yes,no,cellular,nov,mon,175,1,7,1,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
34443,27,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,155,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
20949,31,admin.,married,university.degree,no,yes,no,cellular,aug,thu,95,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
905,32,technician,single,professional.course,no,no,no,telephone,may,wed,245,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
40714,84,retired,divorced,unknown,unknown,no,no,cellular,sep,tue,333,1,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,yes
16086,35,services,single,high.school,unknown,no,no,cellular,jul,tue,520,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
2905,40,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,927,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,yes
19604,39,management,married,university.degree,no,no,no,cellular,aug,thu,1321,6,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
3113,32,services,married,basic.9y,no,no,no,telephone,may,thu,746,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,yes
8529,39,admin.,married,high.school,no,yes,no,telephone,jun,wed,1141,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
26363,45,management,married,professional.course,no,no,no,cellular,nov,thu,993,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,yes
7632,33,technician,unknown,professional.course,unknown,no,no,telephone,may,fri,112,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
31006,36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,tue,36,7,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
2638,25,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,816,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
40442,26,admin.,single,university.degree,no,no,no,cellular,aug,mon,242,1,6,5,success,-1.7,94.027,-38.3,0.904,4991.6,yes
35183,48,admin.,married,high.school,unknown,yes,no,cellular,may,fri,611,5,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,yes
1999,47,blue-collar,single,basic.4y,no,yes,no,telephone,may,mon,345,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2138,33,technician,married,basic.9y,no,no,no,telephone,may,mon,154,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
19542,32,technician,married,university.degree,no,no,no,cellular,aug,thu,251,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
28038,44,blue-collar,married,university.degree,no,yes,no,cellular,apr,thu,397,2,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,yes
36626,28,management,single,university.degree,no,yes,no,cellular,jun,thu,1161,1,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
39963,37,unemployed,married,university.degree,unknown,no,no,telephone,jun,mon,198,1,999,0,nonexistent,-1.7,94.055,-39.8,0.754,4991.6,yes
24172,46,management,divorced,university.degree,no,yes,no,cellular,nov,mon,210,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
28726,36,blue-collar,married,unknown,no,no,no,cellular,apr,thu,1174,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
39394,60,housemaid,married,basic.4y,no,yes,yes,cellular,apr,thu,149,1,12,1,success,-1.8,93.749,-34.6,0.635,5008.7,yes
39181,34,blue-collar,married,high.school,no,yes,no,cellular,mar,fri,115,1,999,0,nonexistent,-1.8,93.369,-34.8,0.653,5008.7,yes
30220,27,blue-collar,single,university.degree,no,yes,no,cellular,apr,thu,246,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
33392,55,admin.,married,high.school,unknown,yes,no,cellular,may,tue,232,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
1570,42,admin.,single,university.degree,no,no,no,telephone,may,thu,172,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
13231,34,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,wed,727,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
32493,32,technician,single,university.degree,no,no,no,cellular,may,fri,216,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
1046,51,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,263,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
36008,58,management,married,university.degree,no,yes,no,cellular,may,tue,640,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,yes
13548,25,services,single,professional.course,no,yes,no,cellular,jul,thu,384,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
1444,31,entrepreneur,divorced,high.school,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
14382,26,technician,single,high.school,no,yes,yes,cellular,jul,mon,894,7,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
17841,58,housemaid,married,basic.4y,unknown,yes,no,cellular,jul,tue,92,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
20572,45,management,married,university.degree,no,yes,no,cellular,aug,tue,1735,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
36302,32,admin.,single,university.degree,no,yes,no,cellular,jun,mon,253,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,yes
30135,60,retired,married,high.school,no,no,no,cellular,apr,thu,400,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
38077,24,technician,married,university.degree,no,yes,yes,cellular,sep,tue,89,2,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,yes
3878,28,services,single,basic.9y,no,yes,no,telephone,may,fri,393,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
22896,58,management,married,university.degree,no,no,no,cellular,aug,mon,164,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
37040,40,admin.,married,university.degree,no,yes,no,cellular,jul,tue,243,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,yes
23388,54,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,wed,523,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes
39316,24,technician,single,professional.course,no,yes,no,telephone,mar,thu,165,3,999,0,nonexistent,-1.8,93.369,-34.8,0.643,5008.7,no
28298,37,blue-collar,married,basic.4y,no,yes,no,cellular,apr,wed,281,1,5,1,success,-1.8,93.075,-47.1,1.445,5099.1,no
11717,38,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,693,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
16522,28,admin.,married,university.degree,no,no,yes,cellular,jul,wed,690,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
13298,39,services,married,basic.9y,no,no,no,cellular,jul,wed,100,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
38275,33,unemployed,married,high.school,no,yes,yes,cellular,oct,tue,301,2,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,yes
38351,62,retired,married,university.degree,unknown,no,no,cellular,oct,fri,717,2,999,0,nonexistent,-3.4,92.431,-26.9,0.7390000000000001,5017.5,yes
5533,33,services,married,professional.course,no,no,no,telephone,may,mon,76,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2023,36,management,divorced,high.school,no,no,no,telephone,may,mon,144,7,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33719,55,retired,divorced,basic.4y,unknown,no,no,cellular,may,wed,526,4,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,yes
16431,24,services,single,basic.9y,no,yes,no,telephone,jul,wed,108,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
14477,45,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,tue,791,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes
38716,38,admin.,married,university.degree,no,yes,no,cellular,nov,tue,64,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,yes
24294,50,technician,married,high.school,no,no,no,cellular,nov,mon,93,1,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,no
2710,50,management,divorced,high.school,unknown,no,no,telephone,may,wed,82,7,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
28841,40,services,married,high.school,no,no,no,cellular,apr,thu,161,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
21127,32,admin.,married,university.degree,no,yes,yes,cellular,aug,mon,124,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
28578,42,blue-collar,married,basic.4y,no,no,no,cellular,apr,wed,1217,3,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
39337,27,admin.,single,university.degree,no,no,no,cellular,mar,tue,273,1,999,0,nonexistent,-1.8,93.369,-34.8,0.637,5008.7,yes
39547,31,self-employed,single,university.degree,no,no,no,cellular,apr,thu,210,1,999,0,nonexistent,-1.8,93.749,-34.6,0.659,5008.7,yes
25855,31,blue-collar,single,high.school,no,no,no,cellular,nov,wed,230,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
10933,29,management,married,university.degree,no,no,no,telephone,jun,wed,332,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
37611,33,unemployed,single,university.degree,no,no,no,cellular,aug,mon,156,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.861,5076.2,no
5718,30,admin.,married,high.school,no,yes,no,telephone,may,mon,434,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37969,59,admin.,married,unknown,no,yes,yes,cellular,sep,mon,281,3,3,1,success,-3.4,92.37899999999999,-29.8,0.797,5017.5,yes
30404,31,admin.,single,university.degree,no,yes,no,cellular,apr,thu,370,3,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
20432,31,admin.,single,university.degree,no,yes,no,cellular,aug,tue,106,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
33044,33,admin.,married,university.degree,no,yes,no,cellular,may,mon,86,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
24075,45,unknown,married,unknown,no,no,no,telephone,nov,wed,169,1,999,0,nonexistent,-0.1,93.2,-42.0,4.663,5195.8,yes
10276,28,admin.,married,high.school,no,no,no,telephone,jun,mon,108,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
38495,65,housemaid,married,basic.4y,no,unknown,unknown,cellular,oct,tue,759,2,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,yes
12529,33,technician,single,professional.course,no,yes,yes,cellular,jul,mon,554,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
20866,35,technician,single,professional.course,no,yes,yes,cellular,aug,thu,55,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
32314,26,blue-collar,single,basic.6y,no,yes,yes,cellular,may,fri,191,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
37681,38,technician,married,university.degree,no,yes,no,cellular,aug,wed,238,4,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8540000000000001,5076.2,yes
1268,39,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,393,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
30362,41,technician,divorced,professional.course,no,no,no,cellular,apr,thu,774,2,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,yes
4145,47,admin.,married,university.degree,no,no,no,telephone,may,mon,408,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
36456,55,retired,married,basic.4y,no,no,no,cellular,jun,tue,130,2,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
675,43,admin.,married,professional.course,no,no,yes,telephone,may,tue,221,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1655,35,blue-collar,married,professional.course,no,yes,yes,telephone,may,fri,710,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
16514,36,blue-collar,married,basic.9y,no,no,yes,cellular,jul,wed,143,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
39449,36,admin.,single,basic.9y,no,yes,yes,telephone,apr,wed,173,1,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,yes
18535,34,technician,married,professional.course,unknown,no,no,telephone,jul,thu,46,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no
31072,34,admin.,single,high.school,no,yes,no,cellular,may,wed,653,1,11,1,success,-1.8,92.89299999999999,-46.2,1.334,5099.1,yes
3432,48,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,244,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
14556,49,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,jul,tue,246,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
28751,44,blue-collar,married,basic.4y,no,yes,no,cellular,apr,thu,178,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
39471,82,retired,divorced,basic.4y,no,no,no,cellular,apr,mon,529,1,6,2,success,-1.8,93.749,-34.6,0.643,5008.7,yes
32354,33,blue-collar,single,high.school,no,yes,no,cellular,may,fri,435,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
14004,25,unemployed,married,high.school,unknown,no,no,cellular,jul,fri,120,10,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
38628,45,blue-collar,married,high.school,no,yes,no,cellular,nov,mon,162,2,999,0,nonexistent,-3.4,92.649,-30.1,0.722,5017.5,yes
